id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,sqft_living15,sqft_lot15,lat,long
7129300520,20141013T000000,221900,3,1,1180,5650,1,7,1180,0,1955,0,98178,1340,5650,47.5112,-122.257
6414100192,20141209T000000,538000,3,2.25,2570,7242,2,7,2170,400,1951,1991,98125,1690,7639,47.721,-122.319
5631500400,20150225T000000,180000,2,1,770,10000,1,6,770,0,1933,0,98028,2720,8062,47.7379,-122.233
2487200875,20141209T000000,604000,4,3,1960,5000,1,7,1050,910,1965,0,98136,1360,5000,47.5208,-122.393
1954400510,20150218T000000,510000,3,2,1680,8080,1,8,1680,0,1987,0,98074,1800,7503,47.6168,-122.045
7237550310,20140512T000000,1225000,4,4.5,5420,101930,1,11,3890,1530,2001,0,98053,4760,101930,47.6561,-122.005
1321400060,20140627T000000,257500,3,2.25,1715,6819,2,7,1715,0,1995,0,98003,2238,6819,47.3097,-122.327
2008000270,20150115T000000,291850,3,1.5,1060,9711,1,7,1060,0,1963,0,98198,1650,9711,47.4095,-122.315
2414600126,20150415T000000,229500,3,1,1780,7470,1,7,1050,730,1960,0,98146,1780,8113,47.5123,-122.337
3793500160,20150312T000000,323000,3,2.5,1890,6560,2,7,1890,0,2003,0,98038,2390,7570,47.3684,-122.031
1736800520,20150403T000000,662500,3,2.5,3560,9796,1,8,1860,1700,1965,0,98007,2210,8925,47.6007,-122.145
9212900260,20140527T000000,468000,2,1,1160,6000,1,7,860,300,1942,0,98115,1330,6000,47.69,-122.292
114101516,20140528T000000,310000,3,1,1430,19901,1.5,7,1430,0,1927,0,98028,1780,12697,47.7558,-122.229
6054650070,20141007T000000,400000,3,1.75,1370,9680,1,7,1370,0,1977,0,98074,1370,10208,47.6127,-122.045
1175000570,20150312T000000,530000,5,2,1810,4850,1.5,7,1810,0,1900,0,98107,1360,4850,47.67,-122.394
9297300055,20150124T000000,650000,4,3,2950,5000,2,9,1980,970,1979,0,98126,2140,4000,47.5714,-122.375
1875500060,20140731T000000,395000,3,2,1890,14040,2,7,1890,0,1994,0,98019,1890,14018,47.7277,-121.962
6865200140,20140529T000000,485000,4,1,1600,4300,1.5,7,1600,0,1916,0,98103,1610,4300,47.6648,-122.343
16000397,20141205T000000,189000,2,1,1200,9850,1,7,1200,0,1921,0,98002,1060,5095,47.3089,-122.21
7983200060,20150424T000000,230000,3,1,1250,9774,1,7,1250,0,1969,0,98003,1280,8850,47.3343,-122.306
6300500875,20140514T000000,385000,4,1.75,1620,4980,1,7,860,760,1947,0,98133,1400,4980,47.7025,-122.341
2524049179,20140826T000000,2000000,3,2.75,3050,44867,1,9,2330,720,1968,0,98040,4110,20336,47.5316,-122.233
7137970340,20140703T000000,285000,5,2.5,2270,6300,2,8,2270,0,1995,0,98092,2240,7005,47.3266,-122.169
8091400200,20140516T000000,252700,2,1.5,1070,9643,1,7,1070,0,1985,0,98030,1220,8386,47.3533,-122.166
3814700200,20141120T000000,329000,3,2.25,2450,6500,2,8,2450,0,1985,0,98030,2200,6865,47.3739,-122.172
1202000200,20141103T000000,233000,3,2,1710,4697,1.5,6,1710,0,1941,0,98002,1030,4705,47.3048,-122.218
1794500383,20140626T000000,937000,3,1.75,2450,2691,2,8,1750,700,1915,0,98119,1760,3573,47.6386,-122.36
3303700376,20141201T000000,667000,3,1,1400,1581,1.5,8,1400,0,1909,0,98112,1860,3861,47.6221,-122.314
5101402488,20140624T000000,438000,3,1.75,1520,6380,1,7,790,730,1948,0,98115,1520,6235,47.695,-122.304
1873100390,20150302T000000,719000,4,2.5,2570,7173,2,8,2570,0,2005,0,98052,2630,6026,47.7073,-122.11
8562750320,20141110T000000,580500,3,2.5,2320,3980,2,8,2320,0,2003,0,98027,2580,3980,47.5391,-122.07
2426039314,20141201T000000,280000,2,1.5,1190,1265,3,7,1190,0,2005,0,98133,1390,1756,47.7274,-122.357
461000390,20140624T000000,687500,4,1.75,2330,5000,1.5,7,1510,820,1929,0,98117,1460,5000,47.6823,-122.368
7589200193,20141110T000000,535000,3,1,1090,3000,1.5,8,1090,0,1929,0,98117,1570,5080,47.6889,-122.375
7955080270,20141203T000000,322500,4,2.75,2060,6659,1,7,1280,780,1981,0,98058,2020,8720,47.4276,-122.157
9547205180,20140613T000000,696000,3,2.5,2300,3060,1.5,8,1510,790,1930,2002,98115,1590,3264,47.6827,-122.31
9435300030,20140528T000000,550000,4,1,1660,34848,1,5,930,730,1933,0,98052,2160,11467,47.6621,-122.132
2768000400,20141230T000000,640000,4,2,2360,6000,2,8,2360,0,1904,0,98107,1730,4700,47.6702,-122.362
7895500070,20150213T000000,240000,4,1,1220,8075,1,7,890,330,1969,0,98001,1290,7800,47.3341,-122.282
